Date,Close/Last,Volume,Open,High,Low
02/10/2022,$302.38,45386200,$304.04,$309.12,$300.7
02/09/2022,$311.21,31284670,$309.865,$311.93,$307.39
02/08/2022,$304.56,32421190,$301.25,$305.561,$299.95
02/07/2022,$300.95,28533290,$306.17,$307.84,$299.9
02/04/2022,$305.94,35096490,$300.21,$308.8,$299.97
02/03/2022,$301.25,43729970,$309.49,$311.23,$299.96
02/02/2022,$313.46,36635990,$309.63,$315.12,$308.88
02/01/2022,$308.76,40950400,$310.41,$310.63,$305.1293
01/31/2022,$310.98,46444540,$308.95,$312.38,$306.37
01/28/2022,$308.26,49743700,$300.23,$308.48,$294.45
01/27/2022,$299.84,53481320,$302.66,$307.3,$297.93
01/26/2022,$296.71,90428850,$307.985,$308.5,$293.03
01/25/2022,$288.49,72848640,$291.52,$294.99,$285.17
01/24/2022,$296.37,86035390,$292.2,$297.11,$276.05
01/21/2022,$296.03,57984400,$302.685,$304.11,$295.61
01/20/2022,$301.6,35380680,$309.07,$311.6494,$301.14
01/19/2022,$303.33,45933860,$306.29,$313.9093,$302.7
01/18/2022,$302.65,42434110,$304.07,$309.8,$301.74
01/14/2022,$310.2,39846410,$304.25,$310.82,$303.75
01/13/2022,$304.8,45365980,$320.466,$320.88,$304
01/12/2022,$318.27,34372220,$319.67,$323.41,$317.08
01/11/2022,$314.98,29386770,$313.38,$316.61,$309.89
01/10/2022,$314.27,44289470,$309.485,$314.72,$304.69
01/07/2022,$314.04,32720020,$314.15,$316.5,$310.09
01/06/2022,$313.88,39646150,$313.15,$318.7,$311.49
01/05/2022,$316.38,40054330,$325.86,$326.07,$315.98
01/04/2022,$329.01,32674310,$334.83,$335.2,$326.12
01/03/2022,$334.75,28918010,$335.35,$338,$329.78
12/31/2021,$336.32,18000800,$338.51,$339.355,$335.85
12/30/2021,$339.32,15994470,$341.91,$343.13,$338.82
12/29/2021,$341.95,15041960,$341.3,$344.3,$339.68
12/28/2021,$341.25,15661470,$343.15,$343.81,$340.32
12/27/2021,$342.45,19947030,$335.46,$342.48,$335.43
12/23/2021,$334.69,19617850,$332.75,$336.39,$332.73
12/22/2021,$333.2,24831490,$328.3,$333.605,$325.75
12/21/2021,$327.29,24740600,$323.29,$327.73,$319.8
12/20/2021,$319.91,28326530,$320.05,$322.8,$317.57
12/17/2021,$323.8,47983710,$320.88,$324.92,$317.25
12/16/2021,$324.9,35034830,$335.71,$336.76,$323.02
12/15/2021,$334.65,35381120,$328.61,$335.19,$324.5
12/14/2021,$328.34,44438700,$333.22,$334.64,$324.11
12/13/2021,$339.4,28899430,$340.68,$343.79,$339.08
12/10/2021,$342.54,38095690,$334.98,$343,$334.79
12/09/2021,$333.1,22214160,$334.41,$336.489,$332.12
12/08/2021,$334.97,24760990,$335.31,$335.5,$330.8
12/07/2021,$334.92,31021940,$331.64,$335.8,$330.1
12/06/2021,$326.19,30032560,$323.95,$327.45,$319.23
12/03/2021,$323.01,41779280,$331.99,$332.7,$318.03
12/02/2021,$329.49,30765980,$330.3,$333.49,$327.8028
12/01/2021,$330.08,33401150,$335.13,$339.28,$329.39
11/30/2021,$330.59,42885610,$335.32,$337.78,$328.99
11/29/2021,$336.63,28563480,$334.94,$339.03,$334.74
11/26/2021,$329.68,24217240,$334.35,$337.93,$328.12
11/24/2021,$337.91,21661310,$336.28,$338.16,$333.911
11/23/2021,$337.68,30427560,$337.05,$339.45,$333.56
11/22/2021,$339.83,31031110,$344.62,$349.67,$339.55
11/19/2021,$343.11,21963400,$342.64,$345.1,$342.2
11/18/2021,$341.27,22463530,$338.18,$342.45,$337.12
11/17/2021,$339.12,19053380,$338.94,$342.19,$338
11/16/2021,$339.51,20886830,$335.68,$340.67,$335.51
11/15/2021,$336.07,16723010,$337.54,$337.88,$334.034
11/12/2021,$336.72,23831050,$333.92,$337.23,$333.79
11/11/2021,$332.43,16849840,$331.25,$333.7746,$330.51
11/10/2021,$330.8,25500940,$334.57,$334.6303,$329.92
11/09/2021,$335.95,21307370,$337.107,$338.72,$334.53
11/08/2021,$336.99,20897000,$337.3,$337.65,$334.44
11/05/2021,$336.06,22570100,$338.51,$338.79,$334.4217
11/04/2021,$336.44,23992200,$332.89,$336.54,$329.51
11/03/2021,$334,21500080,$333.9,$334.9,$330.65
11/02/2021,$333.13,26487110,$330.31,$333.45,$330
11/01/2021,$329.37,27073180,$331.355,$331.49,$326.37
10/29/2021,$331.62,34765980,$324.13,$332,$323.9
10/28/2021,$324.35,26297940,$324.325,$324.87,$321.3601
10/27/2021,$323.17,52588690,$316,$326.0973,$316
10/26/2021,$310.11,28107350,$311,$312.395,$308.5967
10/25/2021,$308.13,17554470,$309.36,$309.4,$306.46
10/22/2021,$309.16,17449330,$310.4,$311.09,$307.8
10/21/2021,$310.76,16918100,$307.17,$311.02,$306.36
10/20/2021,$307.41,16537070,$309.21,$309.7,$306.11
10/19/2021,$308.23,17682140,$308.348,$309.3,$307.22
10/18/2021,$307.29,22729300,$303.57,$308.21,$302.69
10/15/2021,$304.21,25384800,$302.34,$304.45,$300.5191
10/14/2021,$302.75,27262900,$299.21,$303.27,$297.83
10/13/2021,$296.31,23424030,$294.91,$297.28,$293.49
